id,countryId,mainSiteId,type,typeEn,name,nameEn,municipality,municipalityEn,region,regionEn,postCode,addressNomenclature,x,y,servingDays,servingOfficeId,servingHubOfficeId
642141514,642,0,s.,s.,MAGURA,MAGURA,COM. MOIECIU,COM. MOIECIU,BRASOV,BRASOV,507133,0,25.294905,45.525118,1000000,907,907
642147346,642,0,s.,s.,MAGURA,MAGURA,COM. MAGURA,COM. MAGURA,BUZAU,BUZAU,127320,0,26.577252,45.27883,1111110,908,908
642154635,642,0,s.,s.,MAGURA,MAGURA,COM. ZAVOI,COM. ZAVOI,CARAS-SEVERIN,CARAS-SEVERIN,327437,0,22.41443,45.499549,1111110,928,934
642161194,642,0,s.,s.,MAGURA,MAGURA,COM. CERCHEZU,COM. CERCHEZU,CONSTANTA,CONSTANTA,907047,0,28.049153,43.845081,1111100,960,926
642166376,642,0,s.,s.,MAGURA,MAGURA,COM. BEZDEAD,COM. BEZDEAD,DAMBOVITA,DAMBOVITA,137038,0,25.472158,45.12707,1111100,944,926
642167719,642,0,s.,s.,MAGURA,MAGURA,COM. HULUBESTI,COM. HULUBESTI,DAMBOVITA,DAMBOVITA,137253,0,25.235304,44.834254,1111100,944,926
642190315,642,0,s.,s.,MAGURA,MAGURA,COM. MARTINESTI,COM. MARTINESTI,HUNEDOARA,HUNEDOARA,337319,0,23.076838,45.778789,1111110,915,901
642228089,642,0,s.,s.,MAGURA,MAGURA,COM. PERIETI,COM. PERIETI,OLT,OLT,237332,0,24.555045,44.393579,1111110,941,914
642229353,642,0,s.,s.,MAGURA,MAGURA,COM. TATULESTI,COM. TATULESTI,OLT,OLT,237463,0,24.623085,44.668064,1111110,941,914
642235538,642,0,s.,s.,MAGURA,MAGURA,COM. SOIMARI,COM. SOIMARI,PRAHOVA,PRAHOVA,107562,0,26.197515,45.146464,1111100,924,924
642242417,642,0,s.,s.,MAGURA,MAGURA,COM. POIANA BLENCHII,COM. POIANA BLENCHII,SALAJ,SALAJ,457278,0,23.70559,47.315088,0101000,947,901
642250748,642,0,s.,s.,MAGURA,MAGURA,COM. ULMA,COM. ULMA,SUCEAVA,SUCEAVA,727558,0,25.235647,47.82187,1111100,931,931
642253259,642,0,s.,s.,MAGURA,MAGURA,COM. MAGURA,COM. MAGURA,TELEORMAN,TELEORMAN,147190,0,25.395245,44.022633,1111110,910,926
642271389,642,0,s.,s.,MAGURA,MAGURA,COM. MIHAESTI,COM. MIHAESTI,VALCEA,VALCEA,247382,0,24.249667,45.005349,1111110,927,901
642276604,642,0,s.,s.,MAGURA,MAGURA,COM. JITIA,COM. JITIA,VRANCEA,VRANCEA,627189,0,26.743675,45.601656,1001000,916,908
642252886,642,0,s.,s.,MAGURA CU LILIAC,MAGURA CU LILIAC,COM. DRAGANESTI DE VEDE,COM. DRAGANESTI DE VEDE,TELEORMAN,TELEORMAN,147131,0,25.068195,44.128853,1111100,910,926
642158099,642,0,s.,s.,MAGURA IERII,MAGURA IERII,COM. IARA,COM. IARA,CLUJ,CLUJ,407324,0,23.583938,46.543332,0101000,940,909
642133738,642,0,s.,s.,MAGURA ILVEI,MAGURA ILVEI,COM. MAGURA ILVEI,COM. MAGURA ILVEI,BISTRITA-NASAUD,BISTRITA-NASAUD,427145,0,24.809091,47.373347,1111100,912,909
642189295,642,0,s.,s.,MAGURA-TOPLITA,MAGURA-TOPLITA,COM. CERTEJU DE SUS,COM. CERTEJU DE SUS,HUNEDOARA,HUNEDOARA,337194,0,22.938614,45.979507,1111110,915,901
642133818,642,0,s.,s.,MAGURELE,MAGURELE,COM. MARISELU,COM. MARISELU,BISTRITA-NASAUD,BISTRITA-NASAUD,427154,0,24.507751,47.014385,1111100,912,909
642213439,642,0,s.,s.,MAGURELE,MAGURELE,COM. PUNGHINA,COM. PUNGHINA,MEHEDINTI,MEHEDINTI,227413,0,22.948848,44.270566,1111110,938,914
642234023,642,0,s.,s.,MAGURELE,MAGURELE,COM. MAGURELE,COM. MAGURELE,PRAHOVA,PRAHOVA,107345,0,26.037264,45.102249,1111110,924,924
642261446,642,0,s.,s.,MAGURELE,MAGURELE,COM. TOPOLOG,COM. TOPOLOG,TULCEA,TULCEA,827226,0,28.233019,44.902235,0100000,945,926
